type;category;season;nonSA;SA;cohens_d;t_stat;df;p_ttest;VD.A;W;p_mannwhitney
all;all;all;7.06 ± 1.51;7.09 ± 1.64;0.02 [-0.25, 0.28];0.12;212.50;.903;0.51;6223.00;.864
all;all;non-seasonal;6.13 ± 1.47;6.19 ± 1.64;0.04 [-0.22, 0.31];0.30;210.41;.767;0.51;6208.00;.890
all;all;seasonal;0.96 ± 1.09;0.91 ± 1.19;-0.04 [-0.30, 0.23];-0.28;211.32;.780;0.47;5771.50;.406
mental;all;all;2.50 ± 1.15;2.43 ± 1.09;-0.06 [-0.32, 0.21];-0.45;219.31;.656;0.49;5976.00;.716
mental;cognitively_demanding;all;0.82 ± 0.82;0.83 ± 0.80;0.01 [-0.25, 0.27];0.07;218.17;.941;0.51;6208.00;.884
mental;community_activities;all;0.05 ± 0.26;0.02 ± 0.14;-0.15 [-0.42, 0.11];-1.18;180.92;.240;0.49;5996.00;.313
mental;creative_productive;all;0.34 ± 0.63;0.28 ± 0.56;-0.11 [-0.37, 0.16];-0.82;219.99;.414;0.48;5858.50;.428
mental;mixed_mental;all;-;0.01 ± 0.10;0.14 [-0.12, 0.41];1.00;104.00;.320;0.50;6201.00;.295
mental;receptive;all;1.28 ± 0.67;1.30 ± 0.69;0.02 [-0.25, 0.28];0.14;215.47;.886;0.51;6231.50;.838
physical;all;all;4.56 ± 1.28;4.66 ± 1.37;0.07 [-0.19, 0.34];0.52;213.42;.603;0.52;6366.50;.630
physical;all;non-seasonal;3.63 ± 1.23;3.76 ± 1.42;0.10 [-0.17, 0.36];0.72;207.11;.471;0.52;6408.00;.568
physical;all;seasonal;0.96 ± 1.09;0.91 ± 1.19;-0.04 [-0.30, 0.23];-0.28;211.32;.780;0.47;5771.50;.406
physical;aerobic_exercise;all;2.63 ± 1.24;2.48 ± 1.23;-0.13 [-0.39, 0.14];-0.94;218.05;.347;0.46;5704.50;.344
physical;aerobic_exercise;non-seasonal;2.12 ± 1.15;1.98 ± 1.06;-0.13 [-0.39, 0.14];-0.94;219.84;.349;0.48;5883.00;.573
physical;aerobic_exercise;seasonal;0.53 ± 0.82;0.50 ± 0.80;-0.03 [-0.30, 0.23];-0.23;218.34;.817;0.49;6045.50;.811
physical;flexibility_health_exercise;all;0.51 ± 0.60;0.70 ± 0.68;0.29 [0.02, 0.55];2.11;208.02;.036;0.57;6993.00;.047
physical;flexibility_health_exercise;non-seasonal;0.51 ± 0.60;0.70 ± 0.68;0.29 [0.02, 0.55];2.11;208.02;.036;0.57;6993.00;.047
physical;flexibility_health_exercise;seasonal;-;-;-;-;-;-;0.50;6142.50;-
physical;house_and_garden;all;0.72 ± 0.80;0.65 ± 0.73;-0.09 [-0.36, 0.17];-0.68;219.85;.494;0.48;5906.00;.588
physical;house_and_garden;non-seasonal;0.56 ± 0.71;0.56 ± 0.73;0.01 [-0.26, 0.27];0.07;215.96;.948;0.50;6136.50;.990
physical;house_and_garden;seasonal;0.16 ± 0.39;0.09 ± 0.28;-0.22 [-0.49, 0.04];-1.68;209.94;.094;0.47;5719.50;.118
physical;mixed_exercise;all;0.68 ± 0.82;0.82 ± 0.85;0.17 [-0.09, 0.44];1.28;215.19;.202;0.55;6734.00;.178
physical;mixed_exercise;non-seasonal;0.42 ± 0.66;0.51 ± 0.72;0.14 [-0.13, 0.40];1.02;211.67;.307;0.53;6513.50;.364
physical;mixed_exercise;seasonal;0.26 ± 0.44;0.31 ± 0.47;0.11 [-0.16, 0.37];0.81;214.53;.421;0.52;6445.50;.420
physical;strengthening_resistance_exercise;all;0.03 ± 0.16;0.02 ± 0.14;-0.04 [-0.31, 0.22];-0.33;219.72;.740;0.50;6102.00;.745
physical;strengthening_resistance_exercise;non-seasonal;0.03 ± 0.16;0.01 ± 0.10;-0.12 [-0.39, 0.14];-0.92;195.59;.358;0.49;6043.50;.371
physical;strengthening_resistance_exercise;seasonal;-;0.01 ± 0.10;0.14 [-0.12, 0.41];1.00;104.00;.320;0.50;6201.00;.295
