Category,Type,SA,nonSA,SA_perc,nonSA_perc
cognitively_demanding,mental,64,70,64 (60%),70 (59%)
community_activities,mental,2,5,2 (2%),5 (4%)
creative_productive,mental,23,32,23 (22%),32 (27%)
mixed_mental,mental,1,0,1 (1%),0 (0%)
receptive,mental,93,106,93 (88%),106 (89%)
aerobic_exercise,physical,102,114,102 (96%),114 (96%)
flexibility_health_exercise,physical,62,55,62 (58%),55 (46%)
house_and_garden,physical,54,63,54 (51%),63 (53%)
mixed_exercise,physical,61,62,61 (58%),62 (52%)
strengthening_resistance_exercise,physical,2,3,2 (2%),3 (3%)
