type;category;season;nonSA;SA;cohens_d;t_stat;df;p_ttest;VD.A;W;p_mannwhitney
Both;-;Seasonal & Non-seasonal;7.07 ± 1.50;7.08 ± 1.63;0.01;0.08;214.63;.933;0.50;6367.00;.901
Both;-;Non-seasonal;6.14 ± 1.47;6.20 ± 1.63;0.04;0.27;212.79;.791;0.50;6361.00;.911
Both;-;Seasonal;0.95 ± 1.08;0.92 ± 1.19;-0.03;-0.23;213.53;.821;0.47;5958.50;.444
Mental;-;Seasonal & Non-seasonal;2.50 ± 1.14;2.43 ± 1.09;-0.06;-0.42;222.00;.678;0.49;6156.50;.747
Mental;cognitively_demanding;Seasonal & Non-seasonal;0.81 ± 0.82;0.83 ± 0.80;0.03;0.22;221.02;.828;0.51;6449.00;.755
Mental;community_activities;Seasonal & Non-seasonal;0.05 ± 0.26;0.02 ± 0.14;-0.15;-1.17;184.64;.243;0.49;6160.00;.318
Mental;creative_productive;Seasonal & Non-seasonal;0.34 ± 0.63;0.27 ± 0.56;-0.12;-0.89;223.00;.373;0.47;5980.50;.372
Mental;mixed_mental;Seasonal & Non-seasonal;-;0.01 ± 0.10;0.14;1.00;105.00;.320;0.50;6366.50;.293
Mental;receptive;Seasonal & Non-seasonal;1.29 ± 0.67;1.30 ± 0.69;0.01;0.09;218.00;.932;0.51;6370.50;.887
Physical;-;Seasonal & Non-seasonal;4.57 ± 1.28;4.65 ± 1.37;0.06;0.45;215.87;.654;0.51;6494.50;.693
Physical;-;Non-seasonal;3.65 ± 1.24;3.76 ± 1.41;0.09;0.66;210.43;.511;0.52;6560.00;.594
Physical;-;Seasonal;0.95 ± 1.08;0.92 ± 1.19;-0.03;-0.23;213.53;.821;0.47;5958.50;.444
Physical;aerobic_exercise;Seasonal & Non-seasonal;2.64 ± 1.24;2.48 ± 1.22;-0.13;-0.96;220.77;.339;0.46;5858.00;.341
Physical;aerobic_exercise;Non-seasonal;2.13 ± 1.15;1.99 ± 1.06;-0.13;-0.98;222.78;.329;0.48;6031.00;.557
Physical;aerobic_exercise;Seasonal;0.52 ± 0.81;0.51 ± 0.80;-0.01;-0.11;220.93;.914;0.50;6276.50;.942
Physical;flexibility_health_exercise;Seasonal & Non-seasonal;0.51 ± 0.59;0.70 ± 0.68;0.29;2.17;210.26;.031;0.57;7200.50;.041
Physical;flexibility_health_exercise;Non-seasonal;0.51 ± 0.59;0.70 ± 0.68;0.29;2.17;210.26;.031;0.57;7200.50;.041
Physical;flexibility_health_exercise;Seasonal;-;-;-;-;-;-;0.50;6307.00;-
Physical;house_and_garden;Seasonal & Non-seasonal;0.71 ± 0.80;0.64 ± 0.73;-0.08;-0.63;222.75;.528;0.48;6093.00;.630
Physical;house_and_garden;Non-seasonal;0.55 ± 0.71;0.56 ± 0.73;0.01;0.11;218.37;.914;0.50;6321.00;.975
Physical;house_and_garden;Seasonal;0.16 ± 0.39;0.08 ± 0.28;-0.22;-1.66;213.65;.098;0.47;5884.00;.124
Physical;mixed_exercise;Seasonal & Non-seasonal;0.69 ± 0.82;0.81 ± 0.85;0.15;1.09;217.87;.276;0.54;6815.50;.257
Physical;mixed_exercise;Non-seasonal;0.43 ± 0.67;0.51 ± 0.72;0.12;0.87;215.49;.386;0.53;6631.00;.437
Physical;mixed_exercise;Seasonal;0.27 ± 0.45;0.31 ± 0.47;0.09;0.70;217.44;.487;0.52;6574.50;.485
Physical;strengthening_resistance_exercise;Seasonal & Non-seasonal;0.03 ± 0.16;0.02 ± 0.14;-0.04;-0.32;222.86;.747;0.50;6267.00;.751
Physical;strengthening_resistance_exercise;Non-seasonal;0.03 ± 0.16;0.01 ± 0.10;-0.12;-0.92;199.47;.361;0.49;6207.50;.375
Physical;strengthening_resistance_exercise;Seasonal;-;0.01 ± 0.10;0.14;1.00;105.00;.320;0.50;6366.50;.293
