Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
mental,FALSE,SA,30,log,0.54336841717147,0.13433165965334,0.896725724249991
mental,FALSE,SA,30,explog,1.72179683523896,1.14377211227038,2.45156286270974
physical,FALSE,SA,30,log,0.99470582800731,0.649819134596397,1.3929869046226
physical,FALSE,SA,30,explog,2.70392880414936,1.91519440607249,4.02685998565497
NA,FALSE,SA,30,log,0.771691278500526,0.437877059570457,1.10219970030929
NA,FALSE,SA,30,explog,2.16342211901524,1.54941441950845,3.01078156354581
mental,FALSE,nonSA,30,log,0.539045180726591,0.132670834716006,0.902418727780431
mental,FALSE,nonSA,30,explog,1.71436916912659,1.141874071565,2.46555948165334
physical,FALSE,nonSA,30,log,0.99481367416415,0.651240388652915,1.38138798825384
physical,FALSE,nonSA,30,explog,2.70422042990733,1.91791832155517,3.98042267836407
NA,FALSE,nonSA,30,log,0.768692181762369,0.436908550238466,1.09830186473338
NA,FALSE,nonSA,30,explog,2.15694351834046,1.54791452315513,2.99906891143735
mental,FALSE,NA,30,log,0.542043158202723,0.141291180048225,0.896964135428594
mental,FALSE,NA,30,explog,1.71951652152221,1.15175998590738,2.45214743891359
physical,FALSE,NA,30,log,0.994692288307126,0.654523531805773,1.38576819235911
physical,FALSE,NA,30,explog,2.70389220595438,1.92422548722959,3.99789590340107
NA,FALSE,NA,30,log,0.767923835977529,0.441557321868673,1.10193742599928
NA,FALSE,NA,30,explog,2.15528690584188,1.55512725833103,3.00999201519907
mental,FALSE,SA,35,log,0.555413899514896,0.158813940521312,0.901650094822815
mental,FALSE,SA,35,explog,1.7426621342444,1.17211984247692,2.46366504212653
physical,FALSE,SA,35,log,0.989493467035888,0.65355084553513,1.37795581037555
physical,FALSE,SA,35,explog,2.68987161949335,1.9223547537922,3.96678449710769
NA,FALSE,SA,35,log,0.774649849616047,0.447093159352704,1.10076660707232
NA,FALSE,SA,35,explog,2.16983222660451,1.5637599876421,3.0064699924704
mental,FALSE,nonSA,35,log,0.551476784762914,0.155179898029316,0.902754599896382
mental,FALSE,nonSA,35,explog,1.73581455096086,1.16786806472974,2.46638767876882
physical,FALSE,nonSA,35,log,0.995440904878147,0.659486678990187,1.37822799563895
physical,FALSE,nonSA,35,explog,2.70591713445209,1.93379942046621,3.96786448531939
NA,FALSE,nonSA,35,log,0.773169494656838,0.452545298182706,1.09976490380118
NA,FALSE,nonSA,35,explog,2.16662248107757,1.57230909418069,3.00345984718244
mental,FALSE,NA,35,log,0.554091472814898,0.162123289827093,0.898546302346259
mental,FALSE,NA,35,explog,1.74035910685856,1.1760052233774,2.45603027935806
physical,FALSE,NA,35,log,0.992749354681569,0.657865473086262,1.37618960318426
physical,FALSE,NA,35,explog,2.69864381306395,1.93066687299778,3.95978450149896
