diff;diff2;timebin;actype;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
physical - mental;NA;30;NA;NA;0.46 [0.13, 0.84];99.67%;0.99 [0.28, 2.04];99.67%
physical - mental;NA;35;NA;NA;0.45 [0.12, 0.82];99.67%;0.97 [0.25, 1.98];99.67%
physical - mental;NA;40;NA;NA;0.44 [0.11, 0.81];99.60%;0.95 [0.23, 1.95];99.60%
physical - mental;NA;45;NA;NA;0.42 [0.10, 0.79];99.40%;0.92 [0.20, 1.91];99.40%
physical - mental;NA;50;NA;NA;0.40 [0.08, 0.76];99.35%;0.88 [0.17, 1.84];99.35%
physical - mental;NA;55;NA;NA;0.36 [0.04, 0.70];98.85%;0.79 [0.09, 1.68];98.85%
physical - mental;NA;60;NA;NA;0.24 [-0.09, 0.57];92.90%;0.54 [-0.20, 1.38];92.90%
physical - mental;NA;65;NA;NA;0.12 [-0.21, 0.46];75.58%;0.27 [-0.49, 1.13];75.58%
physical - mental;NA;70;NA;NA;0.06 [-0.29, 0.41];62.90%;0.13 [-0.71, 0.98];62.90%
physical - mental;NA;75;NA;NA;-0.02 [-0.37, 0.34];53.55%;-0.04 [-0.90, 0.80];53.55%
physical - mental;NA;80;NA;NA;-0.10 [-0.46, 0.26];69.23%;-0.22 [-1.16, 0.62];69.23%
physical - mental;NA;85;NA;NA;-0.16 [-0.55, 0.21];77.78%;-0.36 [-1.40, 0.51];77.78%
SA - nonSA;NA;30;NA;NA;0.00 [-0.07, 0.07];51.88%;0.00 [-0.15, 0.17];51.88%
SA - nonSA;NA;35;NA;NA;-0.00 [-0.07, 0.07];50.92%;-0.00 [-0.15, 0.15];50.92%
SA - nonSA;NA;40;NA;NA;-0.00 [-0.06, 0.06];55.27%;-0.01 [-0.14, 0.13];55.27%
SA - nonSA;NA;45;NA;NA;-0.01 [-0.06, 0.05];60.72%;-0.02 [-0.14, 0.11];60.72%
SA - nonSA;NA;50;NA;NA;-0.01 [-0.06, 0.04];64.65%;-0.02 [-0.15, 0.10];64.65%
SA - nonSA;NA;55;NA;NA;-0.01 [-0.06, 0.04];68.42%;-0.03 [-0.15, 0.09];68.42%
SA - nonSA;NA;60;NA;NA;-0.02 [-0.07, 0.03];73.20%;-0.03 [-0.16, 0.08];73.20%
SA - nonSA;NA;65;NA;NA;-0.02 [-0.07, 0.03];76.38%;-0.04 [-0.17, 0.07];76.38%
SA - nonSA;NA;70;NA;NA;-0.02 [-0.08, 0.03];78.10%;-0.05 [-0.19, 0.07];78.10%
SA - nonSA;NA;75;NA;NA;-0.02 [-0.08, 0.03];78.75%;-0.05 [-0.20, 0.07];78.75%
SA - nonSA;NA;80;NA;NA;-0.02 [-0.09, 0.03];78.97%;-0.06 [-0.22, 0.08];78.97%
SA - nonSA;NA;85;NA;NA;-0.03 [-0.10, 0.04];79.22%;-0.06 [-0.24, 0.09];79.22%
physical - mental;NA;30;NA;SA;0.46 [0.13, 0.84];99.60%;0.99 [0.27, 2.04];99.60%
physical - mental;NA;35;NA;SA;0.44 [0.12, 0.82];99.52%;0.96 [0.25, 1.99];99.52%
physical - mental;NA;40;NA;SA;0.43 [0.10, 0.80];99.50%;0.93 [0.22, 1.95];99.50%
physical - mental;NA;45;NA;SA;0.42 [0.09, 0.78];99.45%;0.90 [0.18, 1.89];99.45%
physical - mental;NA;50;NA;SA;0.39 [0.07, 0.75];99.28%;0.86 [0.15, 1.81];99.28%
physical - mental;NA;55;NA;SA;0.35 [0.03, 0.69];98.65%;0.77 [0.07, 1.64];98.65%
physical - mental;NA;60;NA;SA;0.23 [-0.09, 0.56];92.12%;0.52 [-0.21, 1.34];92.12%
physical - mental;NA;65;NA;SA;0.11 [-0.22, 0.45];73.47%;0.25 [-0.51, 1.09];73.47%
physical - mental;NA;70;NA;SA;0.04 [-0.30, 0.39];59.98%;0.10 [-0.72, 0.94];59.98%
physical - mental;NA;75;NA;SA;-0.03 [-0.39, 0.32];56.50%;-0.07 [-0.92, 0.77];56.50%
physical - mental;NA;80;NA;SA;-0.11 [-0.48, 0.24];71.80%;-0.26 [-1.17, 0.58];71.80%
physical - mental;NA;85;NA;SA;-0.17 [-0.57, 0.20];80.23%;-0.39 [-1.43, 0.48];80.23%
physical - mental;NA;30;NA;nonSA;0.46 [0.13, 0.84];99.65%;0.99 [0.28, 2.03];99.65%
physical - mental;NA;35;NA;nonSA;0.45 [0.12, 0.83];99.65%;0.97 [0.26, 2.00];99.65%
physical - mental;NA;40;NA;nonSA;0.44 [0.11, 0.81];99.62%;0.96 [0.24, 1.97];99.62%
physical - mental;NA;45;NA;nonSA;0.43 [0.10, 0.79];99.58%;0.94 [0.21, 1.93];99.58%
physical - mental;NA;50;NA;nonSA;0.41 [0.09, 0.76];99.45%;0.90 [0.18, 1.87];99.45%
physical - mental;NA;55;NA;nonSA;0.37 [0.05, 0.71];98.92%;0.82 [0.10, 1.74];98.92%
physical - mental;NA;60;NA;nonSA;0.25 [-0.08, 0.58];93.45%;0.57 [-0.17, 1.42];93.45%
physical - mental;NA;65;NA;nonSA;0.13 [-0.20, 0.47];77.48%;0.30 [-0.47, 1.18];77.48%
physical - mental;NA;70;NA;nonSA;0.07 [-0.28, 0.42];65.38%;0.16 [-0.68, 1.02];65.38%
physical - mental;NA;75;NA;nonSA;-0.00 [-0.36, 0.35];50.38%;-0.00 [-0.88, 0.86];50.38%
physical - mental;NA;80;NA;nonSA;-0.08 [-0.45, 0.27];66.05%;-0.18 [-1.15, 0.68];66.05%
physical - mental;NA;85;NA;nonSA;-0.14 [-0.53, 0.23];75.12%;-0.32 [-1.38, 0.57];75.12%
physical - mental;SA - nonSA;30;NA;NA;-0.00 [-0.07, 0.07];53.37%;-0.00 [-0.18, 0.17];51.92%
physical - mental;SA - nonSA;35;NA;NA;-0.01 [-0.07, 0.05];57.20%;-0.01 [-0.17, 0.14];57.05%
physical - mental;SA - nonSA;40;NA;NA;-0.01 [-0.06, 0.04];62.85%;-0.02 [-0.16, 0.10];63.90%
physical - mental;SA - nonSA;45;NA;NA;-0.01 [-0.06, 0.04];69.47%;-0.03 [-0.15, 0.08];72.32%
physical - mental;SA - nonSA;50;NA;NA;-0.01 [-0.05, 0.03];74.55%;-0.04 [-0.15, 0.06];77.98%
physical - mental;SA - nonSA;55;NA;NA;-0.02 [-0.06, 0.02];78.27%;-0.05 [-0.15, 0.05];82.67%
physical - mental;SA - nonSA;60;NA;NA;-0.02 [-0.06, 0.02];82.30%;-0.05 [-0.16, 0.04];85.90%
physical - mental;SA - nonSA;65;NA;NA;-0.02 [-0.07, 0.02];83.58%;-0.06 [-0.17, 0.05];85.08%
physical - mental;SA - nonSA;70;NA;NA;-0.02 [-0.08, 0.03];83.90%;-0.06 [-0.20, 0.06];84.12%
physical - mental;SA - nonSA;75;NA;NA;-0.03 [-0.09, 0.03];82.90%;-0.06 [-0.22, 0.08];81.47%
physical - mental;SA - nonSA;80;NA;NA;-0.03 [-0.10, 0.04];81.75%;-0.07 [-0.26, 0.11];78.72%
physical - mental;SA - nonSA;85;NA;NA;-0.03 [-0.12, 0.05];80.30%;-0.07 [-0.30, 0.14];76.62%
35 - 30;NA;NA;mental;SA;0.01 [-0.02, 0.04];82.75%;0.02 [-0.03, 0.07];82.75%
35 - 30;NA;NA;mental;nonSA;0.01 [-0.01, 0.05];84.88%;0.02 [-0.03, 0.07];84.88%
35 - 30;NA;NA;mental;NA;0.01 [-0.01, 0.04];86.70%;0.02 [-0.02, 0.07];86.70%
35 - 30;NA;NA;physical;SA;-0.01 [-0.03, 0.02];68.85%;-0.01 [-0.11, 0.06];68.85%
35 - 30;NA;NA;physical;nonSA;-0.00 [-0.03, 0.03];53.47%;-0.00 [-0.09, 0.07];53.47%
35 - 30;NA;NA;physical;NA;-0.00 [-0.03, 0.02];62.32%;-0.01 [-0.10, 0.06];62.32%
35 - 30;NA;NA;NA;SA;0.00 [-0.02, 0.03];60.27%;0.00 [-0.05, 0.06];60.27%
35 - 30;NA;NA;NA;nonSA;0.00 [-0.02, 0.03];72.70%;0.01 [-0.04, 0.07];72.70%
35 - 30;NA;NA;NA;NA;0.00 [-0.02, 0.03];69.15%;0.01 [-0.04, 0.06];69.15%
40 - 35;NA;NA;mental;SA;0.01 [-0.01, 0.04];80.92%;0.01 [-0.02, 0.06];80.92%
40 - 35;NA;NA;mental;nonSA;0.01 [-0.01, 0.04];85.10%;0.02 [-0.02, 0.06];85.10%
40 - 35;NA;NA;mental;NA;0.01 [-0.01, 0.04];87.50%;0.01 [-0.02, 0.06];87.50%
40 - 35;NA;NA;physical;SA;-0.00 [-0.03, 0.02];71.10%;-0.01 [-0.09, 0.05];71.10%
40 - 35;NA;NA;physical;nonSA;-0.00 [-0.02, 0.03];53.50%;-0.00 [-0.07, 0.06];53.50%
40 - 35;NA;NA;physical;NA;-0.00 [-0.03, 0.02];64.80%;-0.01 [-0.08, 0.06];64.80%
40 - 35;NA;NA;NA;SA;0.00 [-0.02, 0.03];57.25%;0.00 [-0.04, 0.05];57.25%
40 - 35;NA;NA;NA;nonSA;0.00 [-0.01, 0.03];74.33%;0.01 [-0.03, 0.06];74.33%
40 - 35;NA;NA;NA;NA;0.00 [-0.01, 0.03];69.15%;0.00 [-0.03, 0.06];69.15%
45 - 40;NA;NA;mental;SA;0.01 [-0.01, 0.04];82.15%;0.01 [-0.02, 0.06];82.15%
45 - 40;NA;NA;mental;nonSA;0.01 [-0.01, 0.04];87.78%;0.02 [-0.02, 0.07];87.78%
45 - 40;NA;NA;mental;NA;0.01 [-0.01, 0.04];89.30%;0.01 [-0.02, 0.06];89.30%
45 - 40;NA;NA;physical;SA;-0.01 [-0.03, 0.02];75.95%;-0.02 [-0.09, 0.04];75.95%
45 - 40;NA;NA;physical;nonSA;-0.00 [-0.03, 0.02];56.90%;-0.00 [-0.08, 0.06];56.90%
45 - 40;NA;NA;physical;NA;-0.00 [-0.03, 0.02];69.08%;-0.01 [-0.08, 0.05];69.08%
45 - 40;NA;NA;NA;SA;0.00 [-0.02, 0.02];55.55%;0.00 [-0.04, 0.05];55.55%
45 - 40;NA;NA;NA;nonSA;0.00 [-0.01, 0.03];75.12%;0.01 [-0.03, 0.06];75.12%
45 - 40;NA;NA;NA;NA;0.00 [-0.01, 0.02];69.15%;0.00 [-0.03, 0.05];69.15%
50 - 45;NA;NA;mental;SA;0.02 [-0.03, 0.08];81.85%;0.03 [-0.05, 0.13];81.85%
50 - 45;NA;NA;mental;nonSA;0.02 [-0.03, 0.08];84.10%;0.03 [-0.05, 0.14];84.10%
50 - 45;NA;NA;mental;NA;0.02 [-0.03, 0.08];83.33%;0.03 [-0.05, 0.13];83.33%
50 - 45;NA;NA;physical;SA;-0.00 [-0.06, 0.05];58.43%;-0.01 [-0.17, 0.12];58.43%
50 - 45;NA;NA;physical;nonSA;-0.00 [-0.05, 0.05];50.60%;-0.00 [-0.16, 0.13];50.60%
50 - 45;NA;NA;physical;NA;-0.00 [-0.06, 0.05];54.87%;-0.01 [-0.17, 0.13];54.87%
50 - 45;NA;NA;NA;SA;0.01 [-0.04, 0.06];65.55%;0.01 [-0.09, 0.12];65.55%
50 - 45;NA;NA;NA;nonSA;0.01 [-0.04, 0.06];71.23%;0.02 [-0.08, 0.13];71.23%
50 - 45;NA;NA;NA;NA;0.01 [-0.04, 0.06];69.15%;0.02 [-0.09, 0.12];69.15%
55 - 50;NA;NA;mental;SA;0.03 [-0.02, 0.10];87.30%;0.05 [-0.04, 0.19];87.30%
55 - 50;NA;NA;mental;nonSA;0.03 [-0.02, 0.10];88.52%;0.05 [-0.04, 0.19];88.52%
55 - 50;NA;NA;mental;NA;0.03 [-0.02, 0.10];88.33%;0.05 [-0.04, 0.19];88.33%
55 - 50;NA;NA;physical;SA;-0.01 [-0.08, 0.05];68.23%;-0.03 [-0.23, 0.12];68.23%
55 - 50;NA;NA;physical;nonSA;-0.01 [-0.08, 0.05];62.58%;-0.02 [-0.22, 0.14];62.58%
55 - 50;NA;NA;physical;NA;-0.01 [-0.08, 0.05];65.42%;-0.03 [-0.22, 0.13];65.42%
55 - 50;NA;NA;NA;SA;0.01 [-0.04, 0.06];66.17%;0.02 [-0.09, 0.14];66.17%
55 - 50;NA;NA;NA;nonSA;0.01 [-0.04, 0.07];70.93%;0.02 [-0.08, 0.15];70.93%
55 - 50;NA;NA;NA;NA;0.01 [-0.04, 0.07];69.15%;0.02 [-0.08, 0.14];69.15%
60 - 55;NA;NA;mental;SA;0.07 [-0.01, 0.18];95.17%;0.14 [-0.03, 0.37];95.17%
60 - 55;NA;NA;mental;nonSA;0.07 [-0.01, 0.18];95.28%;0.14 [-0.03, 0.37];95.28%
60 - 55;NA;NA;mental;NA;0.07 [-0.01, 0.18];95.35%;0.14 [-0.03, 0.37];95.35%
60 - 55;NA;NA;physical;SA;-0.04 [-0.14, 0.04];85.12%;-0.11 [-0.39, 0.10];85.12%
60 - 55;NA;NA;physical;nonSA;-0.04 [-0.14, 0.04];82.60%;-0.10 [-0.38, 0.12];82.60%
60 - 55;NA;NA;physical;NA;-0.04 [-0.14, 0.04];84.05%;-0.11 [-0.38, 0.11];84.05%
60 - 55;NA;NA;NA;SA;0.01 [-0.06, 0.09];67.47%;0.03 [-0.13, 0.21];67.47%
60 - 55;NA;NA;NA;nonSA;0.02 [-0.06, 0.09];70.28%;0.04 [-0.13, 0.22];70.28%
60 - 55;NA;NA;NA;NA;0.01 [-0.06, 0.09];69.15%;0.03 [-0.13, 0.21];69.15%
65 - 60;NA;NA;mental;SA;0.07 [-0.01, 0.17];96.47%;0.15 [-0.02, 0.40];96.47%
65 - 60;NA;NA;mental;nonSA;0.07 [-0.01, 0.17];96.45%;0.15 [-0.02, 0.41];96.45%
65 - 60;NA;NA;mental;NA;0.07 [-0.01, 0.17];96.47%;0.15 [-0.01, 0.40];96.47%
65 - 60;NA;NA;physical;SA;-0.05 [-0.14, 0.04];87.55%;-0.11 [-0.34, 0.10];87.55%
65 - 60;NA;NA;physical;nonSA;-0.04 [-0.14, 0.04];85.58%;-0.11 [-0.34, 0.11];85.58%
65 - 60;NA;NA;physical;NA;-0.05 [-0.14, 0.04];86.75%;-0.11 [-0.34, 0.11];86.75%
65 - 60;NA;NA;NA;SA;0.01 [-0.05, 0.08];67.22%;0.03 [-0.12, 0.21];67.22%
65 - 60;NA;NA;NA;nonSA;0.01 [-0.05, 0.09];70.53%;0.03 [-0.11, 0.22];70.53%
65 - 60;NA;NA;NA;NA;0.01 [-0.05, 0.09];69.15%;0.03 [-0.11, 0.22];69.15%
70 - 65;NA;NA;mental;SA;0.04 [-0.01, 0.11];92.62%;0.08 [-0.03, 0.29];92.62%
70 - 65;NA;NA;mental;nonSA;0.04 [-0.01, 0.11];92.92%;0.09 [-0.02, 0.30];92.92%
70 - 65;NA;NA;mental;NA;0.04 [-0.01, 0.11];92.97%;0.09 [-0.02, 0.30];92.97%
70 - 65;NA;NA;physical;SA;-0.02 [-0.09, 0.04];78.38%;-0.05 [-0.20, 0.10];78.38%
70 - 65;NA;NA;physical;nonSA;-0.02 [-0.09, 0.04];75.05%;-0.04 [-0.19, 0.11];75.05%
70 - 65;NA;NA;physical;NA;-0.02 [-0.09, 0.04];76.60%;-0.05 [-0.19, 0.10];76.60%
70 - 65;NA;NA;NA;SA;0.01 [-0.04, 0.06];66.10%;0.02 [-0.08, 0.16];66.10%
70 - 65;NA;NA;NA;nonSA;0.01 [-0.04, 0.06];71.03%;0.02 [-0.08, 0.17];71.03%
70 - 65;NA;NA;NA;NA;0.01 [-0.04, 0.06];69.15%;0.02 [-0.08, 0.16];69.15%
75 - 70;NA;NA;mental;SA;0.04 [0.00, 0.09];97.65%;0.09 [0.00, 0.25];97.65%
75 - 70;NA;NA;mental;nonSA;0.04 [0.00, 0.09];97.75%;0.09 [0.00, 0.25];97.75%
75 - 70;NA;NA;mental;NA;0.04 [0.00, 0.09];98.05%;0.09 [0.00, 0.25];98.05%
75 - 70;NA;NA;physical;SA;-0.03 [-0.08, 0.01];95.28%;-0.08 [-0.19, 0.01];95.28%
75 - 70;NA;NA;physical;nonSA;-0.03 [-0.08, 0.01];92.75%;-0.07 [-0.19, 0.03];92.75%
75 - 70;NA;NA;physical;NA;-0.03 [-0.08, 0.01];94.65%;-0.07 [-0.19, 0.02];94.65%
75 - 70;NA;NA;NA;SA;0.00 [-0.02, 0.03];60.98%;0.00 [-0.04, 0.08];60.98%
75 - 70;NA;NA;NA;nonSA;0.00 [-0.02, 0.03];71.80%;0.01 [-0.04, 0.09];71.80%
75 - 70;NA;NA;NA;NA;0.00 [-0.02, 0.03];69.15%;0.01 [-0.04, 0.09];69.15%
80 - 75;NA;NA;mental;SA;0.04 [0.00, 0.09];98.67%;0.10 [0.01, 0.26];98.67%
80 - 75;NA;NA;mental;nonSA;0.04 [0.00, 0.09];98.88%;0.10 [0.01, 0.27];98.88%
80 - 75;NA;NA;mental;NA;0.04 [0.01, 0.09];98.98%;0.10 [0.01, 0.26];98.98%
80 - 75;NA;NA;physical;SA;-0.04 [-0.08, -0.00];97.55%;-0.08 [-0.19, -0.00];97.55%
80 - 75;NA;NA;physical;nonSA;-0.03 [-0.08, 0.00];95.80%;-0.08 [-0.19, 0.01];95.80%
80 - 75;NA;NA;physical;NA;-0.04 [-0.08, 0.00];97.15%;-0.08 [-0.19, 0.00];97.15%
80 - 75;NA;NA;NA;SA;0.00 [-0.02, 0.02];59.58%;0.00 [-0.03, 0.06];59.58%
80 - 75;NA;NA;NA;nonSA;0.00 [-0.01, 0.03];72.65%;0.01 [-0.03, 0.08];72.65%
80 - 75;NA;NA;NA;NA;0.00 [-0.01, 0.02];69.15%;0.00 [-0.03, 0.07];69.15%
85 - 80;NA;NA;mental;SA;0.03 [-0.01, 0.10];94.53%;0.07 [-0.01, 0.29];94.53%
85 - 80;NA;NA;mental;nonSA;0.03 [-0.00, 0.10];95.20%;0.07 [-0.01, 0.28];95.20%
85 - 80;NA;NA;mental;NA;0.03 [-0.00, 0.09];95.88%;0.07 [-0.01, 0.28];95.88%
85 - 80;NA;NA;physical;SA;-0.02 [-0.09, 0.02];89.78%;-0.05 [-0.18, 0.04];89.78%
85 - 80;NA;NA;physical;nonSA;-0.02 [-0.08, 0.02];84.58%;-0.04 [-0.18, 0.05];84.58%
85 - 80;NA;NA;physical;NA;-0.02 [-0.09, 0.02];88.92%;-0.05 [-0.18, 0.04];88.92%
85 - 80;NA;NA;NA;SA;0.00 [-0.02, 0.03];59.08%;0.00 [-0.04, 0.09];59.08%
85 - 80;NA;NA;NA;nonSA;0.00 [-0.02, 0.04];72.75%;0.01 [-0.04, 0.10];72.75%
85 - 80;NA;NA;NA;NA;0.00 [-0.02, 0.03];69.15%;0.00 [-0.03, 0.09];69.15%
85 - 30;NA;NA;mental;SA;0.38 [-0.02, 0.82];96.83%;0.79 [-0.04, 1.94];96.83%
85 - 30;NA;NA;mental;nonSA;0.39 [-0.01, 0.84];97.32%;0.82 [-0.02, 1.99];97.32%
85 - 30;NA;NA;mental;NA;0.39 [-0.02, 0.82];97.20%;0.81 [-0.04, 1.95];97.20%
85 - 30;NA;NA;physical;SA;-0.24 [-0.68, 0.13];90.53%;-0.59 [-1.70, 0.33];90.53%
85 - 30;NA;NA;physical;nonSA;-0.20 [-0.64, 0.19];85.02%;-0.49 [-1.57, 0.46];85.02%
85 - 30;NA;NA;physical;NA;-0.22 [-0.66, 0.16];88.17%;-0.54 [-1.63, 0.40];88.17%
85 - 30;NA;NA;NA;SA;0.07 [-0.31, 0.45];66.25%;0.16 [-0.68, 1.04];66.25%
85 - 30;NA;NA;NA;nonSA;0.09 [-0.28, 0.48];71.47%;0.21 [-0.62, 1.13];71.47%
85 - 30;NA;NA;NA;NA;0.08 [-0.30, 0.46];69.15%;0.18 [-0.66, 1.08];69.15%
85 - 30;SA - nonSA;NA;mental;NA;-0.01 [-0.13, 0.11];58.55%;-0.03 [-0.31, 0.25];59.33%
85 - 30;SA - nonSA;NA;physical;NA;-0.05 [-0.15, 0.07];79.12%;-0.10 [-0.39, 0.18];75.88%
