Category,Type,SA,nonSA,SA_perc,nonSA_perc
cognitively_demanding,mental,63,70,63 (60%),70 (60%)
community_activities,mental,2,5,2 (2%),5 (4%)
creative_productive,mental,23,31,23 (22%),31 (26%)
mixed_mental,mental,1,0,1 (1%),0 (0%)
receptive,mental,92,104,92 (88%),104 (89%)
aerobic_exercise,physical,98,112,98 (93%),112 (96%)
flexibility_health_exercise,physical,61,54,61 (58%),54 (46%)
house_and_garden,physical,46,52,46 (44%),52 (44%)
mixed_exercise,physical,42,42,42 (40%),42 (36%)
strengthening_resistance_exercise,physical,1,3,1 (1%),3 (3%)
