diff;diff2;timebin;season;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
FALSE - TRUE;NA;30;NA;NA;0.10 [0.04, 0.16];99.90%;0.23 [0.08, 0.44];99.90%
FALSE - TRUE;NA;35;NA;NA;0.13 [0.08, 0.18];100.00%;0.30 [0.15, 0.51];100.00%
FALSE - TRUE;NA;40;NA;NA;0.16 [0.11, 0.21];100.00%;0.36 [0.21, 0.58];100.00%
FALSE - TRUE;NA;45;NA;NA;0.19 [0.14, 0.24];100.00%;0.42 [0.25, 0.66];100.00%
FALSE - TRUE;NA;50;NA;NA;0.23 [0.18, 0.28];100.00%;0.51 [0.32, 0.81];100.00%
FALSE - TRUE;NA;55;NA;NA;0.26 [0.22, 0.30];100.00%;0.57 [0.36, 0.89];100.00%
FALSE - TRUE;NA;60;NA;NA;0.28 [0.24, 0.32];100.00%;0.60 [0.37, 0.94];100.00%
FALSE - TRUE;NA;65;NA;NA;0.29 [0.25, 0.33];100.00%;0.60 [0.36, 0.98];100.00%
FALSE - TRUE;NA;70;NA;NA;0.31 [0.27, 0.35];100.00%;0.62 [0.37, 1.04];100.00%
FALSE - TRUE;NA;75;NA;NA;0.31 [0.27, 0.36];100.00%;0.62 [0.34, 1.08];100.00%
FALSE - TRUE;NA;80;NA;NA;0.32 [0.28, 0.37];100.00%;0.62 [0.33, 1.14];100.00%
FALSE - TRUE;NA;85;NA;NA;0.34 [0.29, 0.40];100.00%;0.64 [0.32, 1.21];100.00%
SA - nonSA;NA;30;NA;NA;-0.07 [-0.15, 0.03];92.55%;-0.15 [-0.39, 0.06];92.55%
SA - nonSA;NA;35;NA;NA;-0.07 [-0.15, 0.01];95.23%;-0.16 [-0.38, 0.03];95.23%
SA - nonSA;NA;40;NA;NA;-0.08 [-0.15, 0.00];97.12%;-0.17 [-0.38, 0.00];97.12%
SA - nonSA;NA;45;NA;NA;-0.08 [-0.15, -0.01];98.55%;-0.18 [-0.38, -0.02];98.55%
SA - nonSA;NA;50;NA;NA;-0.08 [-0.15, -0.02];99.42%;-0.18 [-0.38, -0.04];99.42%
SA - nonSA;NA;55;NA;NA;-0.09 [-0.15, -0.02];99.75%;-0.19 [-0.38, -0.05];99.75%
SA - nonSA;NA;60;NA;NA;-0.09 [-0.15, -0.03];99.90%;-0.19 [-0.39, -0.06];99.90%
SA - nonSA;NA;65;NA;NA;-0.10 [-0.16, -0.03];99.92%;-0.20 [-0.41, -0.06];99.92%
SA - nonSA;NA;70;NA;NA;-0.10 [-0.17, -0.04];99.85%;-0.20 [-0.43, -0.06];99.85%
SA - nonSA;NA;75;NA;NA;-0.11 [-0.18, -0.04];99.80%;-0.20 [-0.46, -0.06];99.80%
SA - nonSA;NA;80;NA;NA;-0.11 [-0.19, -0.03];99.55%;-0.20 [-0.48, -0.05];99.55%
SA - nonSA;NA;85;NA;NA;-0.11 [-0.20, -0.03];99.10%;-0.21 [-0.51, -0.04];99.10%
FALSE - TRUE;NA;30;NA;SA;0.18 [0.10, 0.27];100.00%;0.40 [0.20, 0.70];100.00%
FALSE - TRUE;NA;35;NA;SA;0.21 [0.14, 0.28];100.00%;0.47 [0.27, 0.76];100.00%
FALSE - TRUE;NA;40;NA;SA;0.24 [0.18, 0.30];100.00%;0.52 [0.32, 0.83];100.00%
FALSE - TRUE;NA;45;NA;SA;0.27 [0.21, 0.33];100.00%;0.57 [0.36, 0.89];100.00%
FALSE - TRUE;NA;50;NA;SA;0.31 [0.25, 0.37];100.00%;0.66 [0.42, 1.02];100.00%
FALSE - TRUE;NA;55;NA;SA;0.34 [0.29, 0.39];100.00%;0.71 [0.45, 1.10];100.00%
FALSE - TRUE;NA;60;NA;SA;0.36 [0.31, 0.41];100.00%;0.73 [0.46, 1.13];100.00%
FALSE - TRUE;NA;65;NA;SA;0.37 [0.32, 0.42];100.00%;0.73 [0.44, 1.17];100.00%
FALSE - TRUE;NA;70;NA;SA;0.38 [0.32, 0.44];100.00%;0.74 [0.44, 1.21];100.00%
FALSE - TRUE;NA;75;NA;SA;0.39 [0.33, 0.46];100.00%;0.73 [0.41, 1.28];100.00%
FALSE - TRUE;NA;80;NA;SA;0.40 [0.33, 0.47];100.00%;0.73 [0.39, 1.33];100.00%
FALSE - TRUE;NA;85;NA;SA;0.41 [0.33, 0.50];100.00%;0.74 [0.37, 1.39];100.00%
FALSE - TRUE;NA;30;NA;nonSA;0.02 [-0.06, 0.10];71.03%;0.05 [-0.14, 0.25];71.03%
FALSE - TRUE;NA;35;NA;nonSA;0.05 [-0.01, 0.12];93.75%;0.12 [-0.03, 0.30];93.75%
FALSE - TRUE;NA;40;NA;nonSA;0.08 [0.02, 0.14];99.55%;0.18 [0.04, 0.37];99.55%
FALSE - TRUE;NA;45;NA;nonSA;0.11 [0.05, 0.16];99.98%;0.25 [0.11, 0.46];99.98%
FALSE - TRUE;NA;50;NA;nonSA;0.15 [0.10, 0.20];100.00%;0.35 [0.19, 0.59];100.00%
FALSE - TRUE;NA;55;NA;nonSA;0.18 [0.13, 0.23];100.00%;0.42 [0.25, 0.67];100.00%
FALSE - TRUE;NA;60;NA;nonSA;0.20 [0.16, 0.25];100.00%;0.45 [0.26, 0.73];100.00%
FALSE - TRUE;NA;65;NA;nonSA;0.22 [0.17, 0.27];100.00%;0.47 [0.27, 0.79];100.00%
FALSE - TRUE;NA;70;NA;nonSA;0.23 [0.18, 0.28];100.00%;0.49 [0.27, 0.85];100.00%
FALSE - TRUE;NA;75;NA;nonSA;0.24 [0.18, 0.30];100.00%;0.49 [0.25, 0.91];100.00%
FALSE - TRUE;NA;80;NA;nonSA;0.25 [0.19, 0.32];100.00%;0.50 [0.24, 0.97];100.00%
FALSE - TRUE;NA;85;NA;nonSA;0.26 [0.19, 0.34];100.00%;0.52 [0.24, 1.05];100.00%
FALSE - TRUE;SA - nonSA;30;NA;NA;0.16 [0.06, 0.26];99.95%;0.35 [0.13, 0.68];99.92%
FALSE - TRUE;SA - nonSA;35;NA;NA;0.16 [0.08, 0.25];100.00%;0.34 [0.15, 0.63];100.00%
FALSE - TRUE;SA - nonSA;40;NA;NA;0.16 [0.09, 0.24];100.00%;0.33 [0.16, 0.59];100.00%
FALSE - TRUE;SA - nonSA;45;NA;NA;0.16 [0.09, 0.23];100.00%;0.32 [0.16, 0.55];100.00%
FALSE - TRUE;SA - nonSA;50;NA;NA;0.16 [0.10, 0.22];100.00%;0.31 [0.16, 0.52];100.00%
FALSE - TRUE;SA - nonSA;55;NA;NA;0.16 [0.10, 0.22];100.00%;0.29 [0.15, 0.51];100.00%
FALSE - TRUE;SA - nonSA;60;NA;NA;0.16 [0.10, 0.22];100.00%;0.27 [0.14, 0.48];100.00%
FALSE - TRUE;SA - nonSA;65;NA;NA;0.15 [0.09, 0.22];100.00%;0.26 [0.12, 0.47];100.00%
FALSE - TRUE;SA - nonSA;70;NA;NA;0.15 [0.08, 0.23];100.00%;0.24 [0.09, 0.48];99.98%
FALSE - TRUE;SA - nonSA;75;NA;NA;0.15 [0.07, 0.24];99.98%;0.23 [0.07, 0.50];99.67%
FALSE - TRUE;SA - nonSA;80;NA;NA;0.15 [0.05, 0.25];99.85%;0.22 [0.04, 0.51];99.10%
