Category,Type,SA,nonSA,SA_perc,nonSA_perc
cognitively_demanding,mental,0,0,0 (0%),0 (0%)
community_activities,mental,0,0,0 (0%),0 (0%)
creative_productive,mental,0,0,0 (0%),0 (0%)
mixed_mental,mental,0,0,0 (0%),0 (0%)
receptive,mental,0,0,0 (0%),0 (0%)
aerobic_exercise,physical,36,42,36 (34%),42 (36%)
flexibility_health_exercise,physical,0,0,0 (0%),0 (0%)
house_and_garden,physical,9,18,9 (9%),18 (15%)
mixed_exercise,physical,33,31,33 (31%),31 (26%)
strengthening_resistance_exercise,physical,1,0,1 (1%),0 (0%)
